step,lambda,mu,nu,contacts,cup_z,ee_dist,force_max,force_mean,touched_fingers,touched_links
50,0,0,0,0,-0.021000,0.335265,0.000000,0.000000,-,-
100,0,0,0,0,-0.021000,0.279433,0.000000,0.000000,-,-
150,0,0,0,0,-0.021000,0.210811,0.000000,0.000000,-,-
200,0,0,0,0,-0.021000,0.275433,0.000000,0.000000,-,-
250,0,0,0,0,-0.021000,0.263236,0.000000,0.000000,-,-
300,0,0,0,0,-0.020999,0.246052,0.000000,0.000000,-,-
350,0,0,0,0,-0.020999,0.222204,0.000000,0.000000,-,-
400,0,0,0,0,-0.020467,0.140272,0.000000,0.000000,-,-
450,0,0,0,0,-0.021000,0.168734,0.000000,0.000000,-,-
500,0,0,0,0,-0.020999,0.132776,0.000000,0.000000,-,-
550,0,0,0,0,-0.020998,0.241296,0.000000,0.000000,-,-
600,0,0,0,0,-0.021000,0.174136,0.000000,0.000000,-,-
650,0,0,0,0,-0.020998,0.156342,0.000000,0.000000,-,-
